 COLUMNS                           , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURES3               , SYSTEM VIEW     , 
 _V_ODBC_SCHEMA1                   , SYSTEM VIEW     , 
 _V_ODBC_SCHEMA2                   , SYSTEM VIEW     , 
 _V_ODBC_SCHEMA3                   , SYSTEM VIEW     , 
 _V_ODBC_SPECIALCOLUMNS1           , SYSTEM VIEW     , 
 _V_ODBC_SPECIALCOLUMNS2           , SYSTEM VIEW     , 
 _V_ODBC_SPECIALCOLUMNS3           , SYSTEM VIEW     , 
 _V_ODBC_STATISTICS1               , SYSTEM VIEW     , 
 _V_ODBC_STATISTICS2               , SYSTEM VIEW     , 
 _V_ODBC_STATISTICS3               , SYSTEM VIEW     , 
 _V_ODBC_TABLES1                   , SYSTEM VIEW     , 
 _V_ODBC_TABLES2                   , SYSTEM VIEW     , 
 _V_ODBC_TABLES3                   , SYSTEM VIEW     , 
 _V_ODBC_TABLETYPES1               , SYSTEM VIEW     , 
 _V_ODBC_TABLETYPES2               , SYSTEM VIEW     , 
 _V_ODBC_TABLETYPES3               , SYSTEM VIEW     , 
 _V_OLEDB_CATALOGS1                , SYSTEM VIEW     , 
 _V_OLEDB_CATALOGS2                , SYSTEM VIEW     , 
 _V_OLEDB_COLUMNS1                 , SYSTEM VIEW     , 
 _V_OLEDB_COLUMNS2                 , SYSTEM VIEW     , 
 _V_OLEDB_FEATURE                  , SYSTEM VIEW     , 
 _V_OLEDB_FOREIGNKEYS1             , SYSTEM VIEW     , 
 _V_OLEDB_FOREIGNKEYS2             , SYSTEM VIEW     , 
 _V_OLEDB_PRIMARYKEYS1             , SYSTEM VIEW     , 
 _V_OLEDB_PRIMARYKEYS2             , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURES1              , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURES2              , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURE_COLUMNS1       , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURE_COLUMNS2       , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURE_PARAMETERS1    , SYSTEM VIEW     , 
 _V_OLEDB_PROCEDURE_PARAMETERS2    , SYSTEM VIEW     , 
 _V_OLEDB_SCHEMAS1                 , SYSTEM VIEW     , 
 _V_OLEDB_SCHEMAS2                 , SYSTEM VIEW     , 
 _V_OLEDB_TABLES1                  , SYSTEM VIEW     , 
 _V_OLEDB_TABLES2                  , SYSTEM VIEW     , 
 _V_OLEDB_TYPES1                   , SYSTEM VIEW     , 
 _V_OLEDB_VIEWS1                   , SYSTEM VIEW     , 
 _V_OLEDB_VIEWS2                   , SYSTEM VIEW     , 
 _V_OPERATOR                       , SYSTEM VIEW     , 
 _V_PG_TIME_OFFSET                 , MANAGEMENT VIEW , 
 _V_PG_TRANSACTION                 , MANAGEMENT VIEW , 
 _V_PLANSTATUS                     , MANAGEMENT VIEW , 
 _V_PLAN_PROGRESS                  , MANAGEMENT VIEW , 
 _V_PLAN_RESOURCE                  , MANAGEMENT VIEW , 
 _V_POWERSUPPLY                    , SYSTEM VIEW     , 
 _V_PRIORITY                       , SYSTEM VIEW     , 
 _V_PROCEDURE                      , SYSTEM VIEW     , 
 _V_QRYHIST                        , MANAGEMENT VIEW , 
 _V_QRYSTAT                        , MANAGEMENT VIEW , 
 _V_QUERYSTATUS                    , MANAGEMENT VIEW , 
 _V_RACK                           , SYSTEM VIEW     , 
 _V_RELATION_COLUMN                , SYSTEM VIEW     , 
 _V_RELATION_COLUMN_DEF            , SYSTEM VIEW     , 
 _V_RELATION_KEYDATA               , SYSTEM VIEW     , 
 _V_REPLICATED_DATABASE            , MANAGEMENT VIEW , 
 _V_REPLICATION_APPLY_DATAFILE_LOG , MANAGEMENT VIEW , 
 _V_REPLICATION_APPLY_LOG          , MANAGEMENT VIEW , 
 _V_REPLICATION_COMMIT_LOG         , MANAGEMENT VIEW , 
 _V_REPLICATION_CONFIG             , MANAGEMENT VIEW , 
 _V_REPLICATION_MYNODE             , MANAGEMENT VIEW , 
 _V_REPLICATION_NODE               , MANAGEMENT VIEW , 
 _V_REPLICATION_PTS_UTILIZATION    , MANAGEMENT VIEW , 
 _V_REPLICATION_QUEUE_LENGTH       , MANAGEMENT VIEW , 
 _V_REPLICATION_SET                , MANAGEMENT VIEW , 
 _V_REPLICATION_SET_NODE           , MANAGEMENT VIEW , 
 _V_REPLICATION_STATE              , MANAGEMENT VIEW , 
 _V_REPLICATION_STATE_UNIQ         , MANAGEMENT VIEW , 
 _V_REPLICATION_SYNC               , MANAGEMENT VIEW , 
 _V_REPLICATION_TRANSACTION_FORK   , MANAGEMENT VIEW , 
 _V_RESTORE_HISTORY                , SYSTEM VIEW     , 
 _V_ROLLBACK_HISTORY               , MANAGEMENT VIEW , 
 _V_ROLLBACK_STATUS                , MANAGEMENT VIEW , 
 _V_RULES                          , SYSTEM VIEW     , 
 _V_SCHED_GRA                      , MANAGEMENT VIEW , 
 _V_SCHED_GRA_EXT                  , MANAGEMENT VIEW , 
 _V_SCHED_GRA_EXT_LATEST           , MANAGEMENT VIEW , 
 _V_SCHED_GRA_LATEST               , MANAGEMENT VIEW , 
 _V_SCHED_MISFIT_ID                , MANAGEMENT VIEW , 
 _V_SCHED_RULE                     , MANAGEMENT VIEW , 
 _V_SCHED_RULE_ACTIVATION          , MANAGEMENT VIEW , 
 _V_SCHED_SN                       , MANAGEMENT VIEW , 
 _V_SCHED_SN_EXT                   , MANAGEMENT VIEW , 
 _V_SCHED_SN_EXT_LATEST            , MANAGEMENT VIEW , 
 _V_SCHED_SN_LATEST                , MANAGEMENT VIEW , 
 _V_SCHED_SYS                      , MANAGEMENT VIEW , 
 _V_SCHED_SYS_LATEST               , MANAGEMENT VIEW , 
 _V_SCHEMA                         , SYSTEM VIEW     , 
 _V_SCSI_ERRORS                    , SYSTEM VIEW     , 
 _V_SCSI_PFE                       , SYSTEM VIEW     , 
 _V_SECURITY_CATEGORY              , SYSTEM VIEW     , 
 _V_SECURITY_COHORT                , SYSTEM VIEW     , 
 _V_SECURITY_COHORT_HIERARCHY      , MANAGEMENT VIEW , 
 _V_SECURITY_LEVEL                 , SYSTEM VIEW     , 
 _V_SEQUENCE                       , SYSTEM VIEW     , 
 _V_SESSION                        , MANAGEMENT VIEW , 
 _V_SESSION_BRIEF                  , MANAGEMENT VIEW , 
 _V_SESSION_DETAIL                 , MANAGEMENT VIEW , 
 _V_SESSION_DETAIL_TX              , SYSTEM VIEW     , 
 _V_SESSION_VAR                    , MANAGEMENT VIEW , 
 _V_SESSION_VERSION                , SYSTEM VIEW     , 
 _V_SFI                            , SYSTEM VIEW     , 
 _V_SNIPPET_PROGRESS               , MANAGEMENT VIEW , 
 _V_SNIPPET_RESOURCE               , MANAGEMENT VIEW , 
 _V_SPA                            , SYSTEM VIEW     , 
 _V_SPMVIEW                        , SYSTEM VIEW     , 
 _V_SPU                            , SYSTEM VIEW     , 
 _V_SPUPARTITION                   , SYSTEM VIEW     , 
 _V_STATISTIC                      , SYSTEM VIEW     , 
 _V_SYNONYM                        , SYSTEM VIEW     , 
 _V_SYSTEMDEF                      , SYSTEM VIEW     , 
 _V_SYSTEM_INFO                    , MANAGEMENT VIEW , 
 _V_SYSTEM_UTIL                    , MANAGEMENT VIEW , 
 _V_SYS_COLUMNS                    , SYSTEM VIEW     , 
 _V_SYS_DATATYPE                   , SYSTEM VIEW     , 
 _V_SYS_OBJECT_STORAGE_SIZE        , MANAGEMENT VIEW , 
 _V_SYS_TABLE_VERSION_DEFN         , SYSTEM VIEW     , 
 _V_SYS_TABLE_VERSION_OBJECT_DEFN  , SYSTEM VIEW     , 
 _V_TABLE                          , SYSTEM VIEW     , 
 _V_TABLE_DIST_MAP                 , SYSTEM VIEW     , 
 _V_TABLE_GROOMSTATE               , SYSTEM VIEW     , 
 _V_TABLE_INDEX                    , SYSTEM VIEW     , 
 _V_TABLE_ONLY_STORAGE_STAT        , MANAGEMENT VIEW , 
 _V_TABLE_ORGANIZE_COLUMN          , SYSTEM VIEW     , 
 _V_TABLE_ORGSTATE                 , SYSTEM VIEW     , 
 _V_TABLE_STORAGE_STAT             , MANAGEMENT VIEW , 
 _V_TABLE_XDB                      , SYSTEM VIEW     , 
 _V_THIN_TABLE                     , SYSTEM VIEW     , 
 _V_THIN_TABLE_ORDER               , SYSTEM VIEW     , 
 _V_TRIGGER                        , SYSTEM VIEW     , 
 _V_TXJOURNAL                      , MANAGEMENT VIEW , 
 _V_TXUNFINISHED                   , MANAGEMENT VIEW , 
 _V_USER                           , SYSTEM VIEW     , 
 _V_USERGROUPS                     , SYSTEM VIEW     , 
 _V_USER_ADMPRIV                   , SYSTEM VIEW     , 
 _V_USER_PRIV                      , SYSTEM VIEW     , 
 _V_USER_SECURITY                  , MANAGEMENT VIEW , 
 _V_VECTOR_IDX                     , MANAGEMENT VIEW , 
 _V_VIEW                           , SYSTEM VIEW     , 
 _V_VIEW_STORAGE_STAT              , MANAGEMENT VIEW , 
 _V_VIRTUAL                        , MANAGEMENT VIEW , 
 _V_VREL                           , MANAGEMENT VIEW , 
(1195 rows)

